{'13069': '0', '13070': '0', '13071': '0', '13072': '0', '13073': '2', '13074': '4', '13075': '4', '13076': '1', '13077': '1', '13078': '0', '13079': '11', '13080': '6', '13081': '13', '13082': '0', '13086': '7', '13345': '20', '13346': '14', '13347': '1', '13348': '9', '13350': '0', '13434': '5', '13435': '5', '13436': '5', '13437': '12', '13438': '0', '13444': '0', '13446': '1', '13454': '0', '13455': '0', '13456': '0', '13457': '0', '13458': '0', '13459': '0', '13460': '0', '13461': '0', '13462': '0', '13463': '0', '13464': '0', '13465': '0', '13466': '0', '13467': '0', '13470': '0', '13471': '0', '13472': '0', '13473': '0', '13478': '0'}
{'13069': '20200101', '13070': '20200101', '13071': '20200101', '13072': '20200101', '13073': '20200101', '13074': '20200101', '13075': '20200101', '13076': '20200101', '13077': '20200101', '13078': '20200101', '13079': '20200101', '13080': '20200101', '13081': '20200101', '13082': '20200101', '13086': '20200101', '13345': '20200101', '13346': '20200101', '13347': '20200101', '13348': '20200101', '13350': '20200101', '13434': '20200101', '13435': '20200101', '13436': '20200101', '13437': '20200101', '13438': '20200101', '13444': '20200101', '13446': '20200101', '13454': '20200101', '13455': '20200101', '13456': '20200101', '13457': '20200101', '13458': '20200101', '13459': '20200101', '13460': '20200101', '13461': '20200101', '13462': '20200101', '13463': '20200101', '13464': '20200101', '13465': '20200101', '13466': '20200101', '13467': '20200101', '13470': '20200101', '13471': '20200101', '13472': '20200101', '13473': '20200101', '13478': '20200101'}
20200122,0,3,5,0,4,9,20,13,11,0,80,29,20,0,22,52,23,9,36,0,20,10,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200123,3,0,6,0,10,13,24,16,12,0,59,38,17,0,16,46,26,17,34,0,25,15,21,22,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200124,1,1,4,0,7,9,32,9,10,0,72,26,9,0,27,63,25,17,30,0,13,8,13,11,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20200125,0,0,0,0,1,9,16,0,1,0,12,16,2,0,2,11,2,0,5,0,3,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200126,0,0,0,0,0,3,1,2,0,0,5,2,2,0,2,7,0,2,4,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200127,0,0,6,0,7,29,40,10,12,0,64,36,22,0,19,93,37,17,22,0,21,13,10,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200128,3,1,4,0,9,25,35,8,18,0,76,42,21,0,19,88,25,15,27,0,20,23,19,20,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200129,1,0,4,0,9,21,31,20,6,0,63,33,17,0,19,89,41,26,37,4,44,22,19,35,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200130,0,1,3,0,17,21,17,18,13,0,76,60,15,0,29,74,23,6,24,0,22,21,18,18,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200131,4,0,6,0,19,35,34,15,12,0,64,59,21,0,25,57,19,49,18,0,22,13,18,11,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200201,0,0,1,0,4,18,8,5,1,0,14,21,3,0,7,23,16,5,9,0,2,6,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200202,0,0,0,0,0,2,3,1,0,0,10,6,3,0,4,9,5,3,3,0,3,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200203,0,0,4,0,10,24,45,22,10,0,61,39,18,0,18,111,35,16,28,0,32,26,21,32,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200204,0,0,6,1,15,24,32,29,7,0,60,40,33,0,22,95,57,14,33,0,33,27,22,39,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200205,0,0,3,0,21,29,32,16,18,0,83,63,18,0,19,118,50,19,48,0,54,27,27,35,2,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200206,0,0,11,1,12,12,14,8,7,0,59,48,17,0,20,86,44,26,63,0,32,23,28,40,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200207,1,0,2,0,18,34,24,10,9,0,78,77,15,0,25,123,64,21,28,0,39,18,34,48,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200208,0,0,2,0,2,2,2,0,2,0,11,17,5,0,6,14,8,4,11,0,6,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200209,1,0,0,0,0,2,2,0,0,0,5,8,2,0,5,2,1,3,6,0,2,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200210,9,0,7,0,14,46,35,8,13,0,48,69,26,0,28,87,20,11,41,0,31,69,20,38,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200211,0,0,11,0,4,6,11,19,15,0,40,21,20,0,17,96,36,20,36,0,41,40,20,44,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200212,3,0,7,0,12,17,22,13,14,0,52,27,19,0,15,79,40,13,45,0,31,19,20,44,1,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20200213,0,0,6,0,6,10,21,14,18,0,86,27,38,0,23,84,30,12,39,0,35,11,21,40,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20200214,0,0,8,0,5,9,35,14,19,0,50,25,21,0,16,115,45,14,37,0,31,22,28,31,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200215,0,0,1,0,2,3,6,4,0,0,14,13,3,0,5,10,3,2,11,0,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200216,0,0,0,0,0,2,4,2,0,0,8,3,2,0,2,5,1,3,4,0,1,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200217,1,0,10,0,11,11,21,12,11,0,40,28,30,0,29,63,32,18,51,0,40,36,25,42,3,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200218,2,0,8,0,5,9,34,12,9,0,78,22,30,0,30,115,59,36,63,0,42,41,23,49,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200219,1,0,10,0,14,15,29,4,19,0,101,38,22,0,34,82,40,15,36,0,44,24,23,27,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200220,3,0,5,1,6,20,35,5,7,0,75,25,20,0,30,75,21,17,38,0,36,22,18,32,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200221,1,0,8,0,6,7,29,16,15,0,80,24,25,0,28,93,22,13,52,0,33,16,20,30,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200222,0,0,5,0,7,1,10,0,3,0,106,13,5,0,9,112,90,6,120,0,7,4,5,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20200223,0,1,0,0,0,2,8,0,0,0,52,5,5,0,4,50,47,1,38,0,1,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200224,0,1,3,0,12,11,27,3,8,0,53,31,16,0,26,68,17,7,30,0,17,8,8,20,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200225,3,2,4,0,7,20,44,19,29,0,73,35,35,0,26,101,37,26,44,0,29,27,27,26,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200226,0,0,8,0,14,24,27,17,5,0,93,48,39,0,32,92,56,20,43,0,37,22,22,43,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200227,0,1,4,0,8,16,29,9,7,0,77,37,24,0,32,76,25,27,49,0,29,24,11,34,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200228,0,1,3,0,5,13,38,5,12,0,64,21,17,0,23,61,26,15,36,0,24,12,7,14,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200229,0,1,2,0,1,1,11,0,1,0,33,13,5,0,5,38,15,3,14,0,6,6,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200301,0,1,0,0,1,0,7,1,2,0,20,7,5,0,1,27,20,3,9,0,1,4,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200302,0,0,2,0,13,12,25,15,6,0,65,24,32,0,23,111,35,24,32,0,15,27,18,35,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200303,2,3,5,0,6,10,24,9,7,0,40,33,25,0,22,77,25,29,40,0,38,36,22,28,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200304,0,1,4,0,21,18,21,18,12,0,54,45,35,0,28,119,67,25,53,0,34,34,34,1,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200305,2,0,2,0,9,11,35,6,20,0,76,29,20,0,17,81,30,18,29,0,25,16,17,3,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200306,0,0,4,0,1,6,19,12,20,0,41,23,28,0,19,86,34,36,45,0,42,37,26,50,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200307,0,0,4,0,1,1,9,0,2,0,13,10,4,0,4,18,7,8,17,0,7,5,4,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200308,0,0,0,0,2,1,5,1,0,0,8,5,6,0,3,8,9,4,6,0,2,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20200309,1,1,1,0,17,9,30,10,13,0,32,34,25,0,31,75,23,29,51,0,36,35,16,31,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200310,3,0,6,0,11,9,18,7,21,0,74,25,25,0,24,87,31,22,34,0,29,31,19,15,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200311,0,0,13,0,4,7,27,9,9,0,69,24,36,0,29,103,67,29,40,0,53,37,20,36,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200312,1,0,6,0,13,11,27,8,20,0,74,32,24,0,23,100,52,37,45,0,44,40,28,41,2,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
