{'13069': '0', '13070': '67', '13071': '133', '13072': '31', '13073': '166', '13074': '64', '13075': '318', '13076': '205', '13077': '195', '13078': '0', '13079': '330', '13080': '310', '13081': '249', '13082': '0', '13086': '333', '13345': '216', '13346': '112', '13347': '150', '13348': '238', '13350': '0', '13434': '175', '13435': '155', '13436': '171', '13437': '248', '13438': '35', '13444': '82', '13446': '106', '13454': '0', '13455': '0', '13456': '0', '13457': '0', '13458': '0', '13459': '0', '13460': '0', '13461': '0', '13462': '0', '13463': '1', '13464': '0', '13465': '0', '13466': '0', '13467': '0', '13470': '0', '13471': '0', '13472': '1', '13473': '0', '13478': '0'}
{'13069': '20200101', '13070': '20200101', '13071': '20200101', '13072': '20200101', '13073': '20200101', '13074': '20200101', '13075': '20200101', '13076': '20200101', '13077': '20200101', '13078': '20200101', '13079': '20200101', '13080': '20200101', '13081': '20200101', '13082': '20200101', '13086': '20200101', '13345': '20200101', '13346': '20200101', '13347': '20200101', '13348': '20200101', '13350': '20200101', '13434': '20200101', '13435': '20200101', '13436': '20200101', '13437': '20200101', '13438': '20200101', '13444': '20200101', '13446': '20200101', '13454': '20200101', '13455': '20200101', '13456': '20200101', '13457': '20200101', '13458': '20200101', '13459': '20200101', '13460': '20200101', '13461': '20200101', '13462': '20200101', '13463': '20200101', '13464': '20200101', '13465': '20200101', '13466': '20200101', '13467': '20200101', '13470': '20200101', '13471': '20200101', '13472': '20200101', '13473': '20200101', '13478': '20200101'}
20200124,170,270,520,323,697,417,1367,989,899,0,1179,1150,903,0,914,781,345,567,855,0,457,447,604,261,117,180,192,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20200125,82,102,225,33,359,176,629,491,767,0,516,685,390,0,503,345,162,304,410,0,512,206,242,202,86,143,101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20200126,77,76,197,19,183,114,464,175,487,0,347,490,259,0,368,202,85,179,235,0,425,168,173,158,55,87,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200127,142,252,492,224,713,424,1257,962,824,1,1202,1181,895,0,1013,824,345,654,764,0,606,469,528,175,136,220,158,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200128,157,302,561,127,748,428,1372,931,968,0,1221,1355,951,0,1067,1024,379,699,834,0,687,537,649,461,188,209,190,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20200129,127,319,504,115,697,409,1390,948,840,0,1241,1410,938,0,1016,920,382,742,857,7,738,557,580,440,158,229,215,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20200130,144,281,560,98,705,416,1268,988,951,0,1226,1233,925,0,986,815,344,580,800,0,605,456,573,361,155,218,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
20200131,204,288,542,111,709,415,1289,938,978,0,1252,1219,882,0,931,858,345,561,789,0,558,459,551,330,171,200,195,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200201,159,132,262,37,307,171,575,436,507,0,516,836,402,0,523,509,175,480,386,0,476,298,292,223,96,138,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200202,97,72,157,15,191,115,459,309,553,0,320,484,266,0,322,192,87,236,245,0,314,161,169,159,54,99,65,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
20200203,125,100,545,95,695,391,1278,949,889,0,1145,1385,948,0,995,891,398,627,1003,0,640,544,631,488,162,237,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20200204,119,0,543,111,766,408,1281,897,918,0,1178,1340,1028,0,1034,847,411,626,1000,0,550,544,601,482,159,248,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200205,142,0,580,112,765,402,1094,951,806,0,1197,1387,1045,0,1077,1005,472,623,1036,0,675,589,622,452,143,226,222,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
20200206,141,0,571,104,739,377,1316,923,871,0,1152,1396,972,0,1084,1037,480,641,1082,1,523,513,594,584,167,197,263,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20200207,151,0,561,109,734,374,1320,831,829,0,1176,1213,948,0,969,987,413,564,1004,0,716,532,579,445,150,202,233,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
20200208,64,0,264,39,329,170,621,373,543,0,528,675,411,0,496,470,170,293,348,0,351,258,269,324,62,129,116,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
20200209,63,0,222,26,175,129,440,153,442,0,360,403,265,0,295,216,102,158,277,0,184,114,172,131,42,59,62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
20200210,156,0,537,113,715,407,1272,889,1000,0,1144,1326,1002,0,969,907,415,456,970,0,636,626,583,398,143,270,261,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
